time	pitch	roll	yaw
1.390185218	0.453534699	0.182674887	1.266703965
1.429294289	0.477785901	0.205381927	1.308588401
1.468403361	0.502471193	0.227720664	1.350341985
1.507512433	0.52757793	0.249625232	1.391971445
1.563202426	0.564032397	0.279988573	1.45105025
1.61889242	0.601282355	0.309308781	1.509912763
1.674582414	0.639294926	0.337554481	1.568580004
1.730272407	0.678038629	0.364724904	1.627072393
1.785962401	0.717483282	0.390835509	1.685409197
1.884325153	0.788777878	0.434444767	1.788119071
1.982687906	0.862019126	0.474989154	1.890483201
2.081050658	0.937066704	0.512657044	1.992571812
2.179413411	1.013790811	0.54764239	2.094439181
2.277776163	1.09207109	0.580130761	2.196125727
2.404163433	1.194761155	0.61848595	2.326562869
2.530550702	1.299618576	0.65334672	2.456791456
2.656937971	1.406444698	0.685028681	2.586837524
2.783325241	1.515059589	0.71381996	2.71671571
2.90971251	1.625299868	0.739982972	2.846434508
3.10971251	1.802718333	0.776578759	3.051393715
3.30971251	1.983317828	0.808024368	3.255986531
3.50971251	2.166647304	0.835047884	3.460230077
3.70971251	2.352322587	0.85827051	3.66414343
3.90971251	2.54001443	0.878225108	3.86774842
4.10971251	2.729439421	0.89537055	4.071068063
4.30971251	2.92035355	0.910102046	4.274124763
4.50971251	3.112547029	0.922759493	4.476939391
4.70971251	3.305839665	0.933634916	4.67953115
4.90971251	3.500076694	0.942979174	4.881917729
5.10971251	3.69512516	0.951007799	5.084115441
5.30971251	3.890870818	0.957906	5.286139311
5.50971251	4.087215502	0.963832931	5.488003143
5.70971251	4.284074866	0.968925343	5.689719614
5.90971251	4.48137644	0.973300736	5.89130038
6.10971251	4.67905796	0.977060065	6.092756165
6.30971251	4.877065929	0.980290073	6.29409685
6.50971251	5.075354382	0.983065287	6.495331532
6.70971251	5.273883826	0.985449744	6.696468593
6.90971251	5.472620329	0.987498463	6.897515751
7.10971251	5.671534735	0.989258716	7.098480114
7.30971251	5.870601997	0.990771121	7.299368227
7.50971251	6.069800591	0.992070575	7.500186119
7.70971251	6.269112025	0.993187061	7.700939343
7.90971251	6.468520412	0.994146344	7.901633012
8.10971251	6.668012099	0.994970556	8.102271835
8.30971251	6.867575358	0.995678717	8.302860147
8.50971251	7.067200112	0.996287166	8.503401943
8.70971251	7.266877702	0.996809944	8.703900902
8.90971251	7.466600687	0.997259114	8.904360408
9.10971251	7.666362678	0.997645039	9.104783583
9.30971251	7.866158181	0.997976624	9.305173299
9.50971251	8.065982477	0.998261522	9.505532201
9.70971251	8.265831513	0.998506305	9.705862726
9.90971251	8.465701806	0.998716622	9.906167117
10	8.555936858	0.998801647	9.99658403
